RefCty_ISO3countryCode,RefCty_NameWorkingEnglish,RefCty_RefReg_WHOregionCode,RefCty_UNICEFregion
POL,Poland,EURO,Dev
PRI,Puerto Rico,AMRO,
PRK,DPRKorea,SEARO,EAPRO
PRT,Portugal,EURO,Dev
PRY,Paraguay,AMRO,TACRO
PSE,West Bank and Gaza,EMRO,MENA
PYF,French Polynesia,WPRO,
QAT,Qatar,EMRO,MENA
REU,Reunion,AFRO,
RKS,Kosovo,EURO,
ROU,Romania,EURO,CEE-CIS
RUS,Russian Federation,EURO,CEE-CIS
RWA,Rwanda,AFRO,ESARO
SAU,Saudi Arabia,EMRO,MENA
SCG,Serbia & Montenegro,EURO,CEE-CIS
SDN,Sudan,EMRO,MENA
SEN,Senegal,AFRO,WCARO
SGP,Singapore,WPRO,EAPRO
SHN,Saint Helena,AFRO,
SLB,Solomon Islands,WPRO,EAPRO
SLE,Sierra Leone,AFRO,WCARO
SLV,El Salvador,AMRO,TACRO
SMR,San Marino,EURO,Dev
SOM,Somalia,EMRO,ESARO
SRB,Serbia,EURO,CEE-CIS
SSD,South Sudan,AFRO,ESARO
SSM,Southern Somalia,EMRO,
STP,Sao Tome & Principe,AFRO,WCARO
SUN,USSR,EURO,CEE-CIS
SUR,Suriname,AMRO,TACRO
SVK,Slovakia,EURO,Dev
SVN,Slovenia,EURO,Dev
SWE,Sweden,EURO,Dev
SWZ,Eswatini,AFRO,ESARO
SXM,Sint Maarten,AMRO,
SYC,Seychelles,AFRO,ESARO
SYR,Syria,EMRO,MENA
TCA,Turks & Caicos Islands,AMRO,
TCD,Chad,AFRO,WCARO
TGO,Togo,AFRO,WCARO
THA,Thailand,SEARO,EAPRO
TJK,Tajikistan,EURO,CEE-CIS
TKL,Tokelau,WPRO,
TKM,Turkmenistan,EURO,CEE-CIS
TLS,Timor-Leste,SEARO,EAPRO
TON,Tonga,WPRO,EAPRO
TTO,Trinidad & Tobago,AMRO,TACRO
TUN,Tunisia,EMRO,MENA
TUR,Turkey,EURO,CEE-CIS
TUV,Tuvalu,WPRO,EAPRO
TZA,Tanzania,AFRO,ESARO
UGA,Uganda,AFRO,ESARO
UKR,Ukraine,EURO,CEE-CIS
UNR,UNRWA,EMRO,
URY,Uruguay,AMRO,TACRO
USA,USA,AMRO,Dev
UZB,Uzbekistan,EURO,CEE-CIS
VCT,Saint Vincent & The Grenadines,AMRO,TACRO
VEN,Venezuela,AMRO,TACRO
VGB,British Virgin Islands,AMRO,
VIR,US Virgin Islands,AMRO,
VNM,VietNam,WPRO,EAPRO
VUT,Vanuatu,WPRO,EAPRO
WLF,Wallis & Futuna Islands,WPRO,
WSM,Samoa,WPRO,EAPRO
X01,Global,,
X02,AFR,,
X03,AMR,,
X04,EMR,,
X05,EUR,,
X06,SEAR,,
X07,WPR,,
YEM,Yemen,EMRO,MENA
YMD,Democratic Yemen,EMRO,
ZAF,South Africa,AFRO,ESARO
ZAN,Zanzibar,AFRO,
ZMB,Zambia,AFRO,ESARO
ZWE,Zimbabwe,AFRO,ESARO
